versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.src.org.hsqldb.jdbc,jdbcSQLXML,1031,20,133,8
2007,base.trunk.test.org.hsqldb.jdbc,jdbcParameterMetaDataTest,125,3,20,8
2007,base.trunk.src.org.hsqldb.jdbc,jdbcClob,220,8,53,8
2007,base.trunk.src.org.hsqldb.test,TestBase,61,1,5,5
2007,base.trunk.src.org.hsqldb.util,ZaurusTableForm,564,10,61,8
2007,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,119,20,212,19
2007,base.trunk.src.org.hsqldb.test,TestMultiInsert,90,6,64,26
2008,base.trunk.test.org.hsqldb.jdbc,UtilTest,230,2,11,6
2007,base.trunk.src.org.hsqldb.rights,Grantee,526,4,28,7
2007,base.trunk.src.org.hsqldb.types,BinaryType,404,19,138,19
2007,base.trunk.src.org.hsqldb.jdbc,jdbcPreparedStatement,1083,23,250,21
2008,base.trunk.src.org.hsqldb.scriptio,ScriptWriterZipped,34,1,6,6
2008,base.trunk.src.org.hsqldb,Tokenizer,643,4,28,9
2007,base.trunk.src.org.hsqldb.result,ResultLob,307,4,20,5
2007,base.trunk.src.org.hsqldb.lib,HashMap,118,15,138,18
2007,base.trunk.src.org.hsqldb.util.preprocessor,Document,200,2,10,5
2008,base.trunk.test.org.hsqldb.jdbc,jdbcDatabaseMetaDataTest,1957,8,55,7
2007,base.trunk.src.org.hsqldb.test,ExecHarness,195,2,12,6
2008,base.trunk.src.org.hsqldb.test,TestSchemaParse,783,1,5,5
2007,base.trunk.src.org.hsqldb.types,IntervalType,1365,51,376,28
2007,base.trunk.src.org.hsqldb.index,Index,844,12,100,15
2007,base.trunk.src.org.hsqldb.rowio,RowInputBinary,147,4,20,5
2008,base.trunk.src.org.hsqldb,Types,633,7,65,14
2007,base.trunk.src.org.hsqldb,DatabaseScript,525,2,20,10
2007,base.trunk.test.org.hsqldb.jdbc,UtilTest,1418,3,20,8
2007,base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,175,11,96,15
2008,base.trunk.src.org.hsqldb.lib,HsqlDeque,155,6,55,23
2008,base.trunk.test.org.hsqldb.jdbc,JdbcSuite,45,4,26,8
2007,base.trunk.src.org.hsqldb.persist,ScaledRAFile,353,28,181,11
2008,base.trunk.src.org.hsqldb.lib,CountdownInputStream,57,2,16,8
2007,base.trunk.src.org.hsqldb.types,ClobInputStream,78,3,41,19
2008,base.trunk.test.org.hsqldb.jdbc,JdbcScriptedTestCase,513,11,112,42
2008,base.trunk.src.org.hsqldb.test,TestSqlPersistent,257,4,21,6
2007,base.trunk.src.org.hsqldb.lib,ArrayUtil,571,16,98,13
2008,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceFactoryTest,54,4,28,8
2008,base.trunk.src.org.hsqldb.store,ValuePoolHashMap,212,26,155,8
2008,base.trunk.src.org.hsqldb.util,RefCapablePropertyResourceBundle,267,5,43,14
2007,base.trunk.src.org.hsqldb.jdbc.pool,JDBCXADataSource,80,1,13,13
2008,base.trunk.src.org.hsqldb,CommandParser,664,4,31,10
2007,base.trunk.src.org.hsqldb.lib,ClosableByteArrayOutputStream,137,5,59,17
2008,base.trunk.src.org.hsqldb.index,DiskNode,185,1,6,6
2007,base.trunk.src.org.hsqldb,CachedRow,123,1,6,6
2008,base.trunk.src.org.hsqldb.test,TestCascade,97,2,10,5
2008,base.trunk.src.org.hsqldb.util,Grid,278,8,77,20
2008,base.trunk.src.org.hsqldb,LegacyFunction,295,4,31,10
2007,base.trunk.src.org.hsqldb.result,Result,940,13,103,11
2008,base.trunk.src.org.hsqldb.util,TransferCommon,67,2,10,5
2007,base.trunk.src.org.hsqldb.rowio,RowInputText,340,31,218,11
2007,base.trunk.src.org.hsqldb.types,BlobInputStream,72,3,41,19
2008,base.trunk.src.org.hsqldb.rights,Grantee,545,4,28,7
2007,base.trunk.src.org.hsqldb.persist,TempDataFileCache,71,2,11,6
2007,base.trunk.src.org.hsqldb.rights,Right,342,3,19,7
2007,base.trunk.src.org.hsqldb.test,TestQuotes,93,2,11,6
2008,base.trunk.src.org.hsqldb.lib,LongKeyHashMap,113,17,199,24
2007,base.trunk.test.org.hsqldb.jdbc,jdbcClobTest,175,11,96,15
2008,base.trunk.src.org.hsqldb,DDLParser,2397,76,482,16
2007,base.trunk.src.org.hsqldb.util,CodeSwitcher,224,2,10,5
2008,base.trunk.src.org.hsqldb.result,ResultLob,315,6,32,6
2008,base.trunk.src.org.hsqldb.test,TestMerge,239,19,147,26
